Политботы=Рабочая группа Телеграмма:

//===================
//НАИБОЛЕЕ ВЕРОЯТНЫЕ=
//===================

UClcvskG-Z4XE3xjjaHj5xTA=Mar 19, 2020•[АИИ]•Vezuncik Vezuncik
UCNwsLGJ1A8gnvRPj7S0XTMg=Feb 21, 2020•[АИИ]•Линия Жизни
UCmPxSiba3ls1gWT_FiZ4Q7Q=Feb 21, 2020•[АИИ]•Cessna 172
UCH6DUpZ8NLoI1HZjxcpSoXQ=Dec 29, 2014•[АИИ?]•Karabas Barabas

//==========
// В РАБОТЕ=
//==========

UCmDydJbR1LNLZf_c-wHAEeA=Apr 6, 2015•[нуб?]•Алексей 08 rus
UCZn0aQU7tGFHMmJlxtez4FA=Mar 4, 2020•[?]•Вадим Сергеевич
UCapy52L50XNDGM5OdcxZ0xQ=Dec 23, 2019•[??]•Николай Юрьевич
UC8AZLgB367bqQx8dEO16sAg=Oct 13, 2019•[??]•Ирина Калмыкова
UCXH-qfyNt-S9bFvdpP0XkZw=Apr 15, 2019•[??]•я здесь я тут
UCpLCFzKzAayElrHNrSjATVA=Mar 10, 2020•[??]•Роман Болквадзе
UCWa3nayJuqIa1hDNvlKkoRA=Jul 6, 2018•[ИМА??~]•Тимур Гарипов
UCPSkFHWmFVPpxt6MVxYecDw=Jan 19, 2020•[ИМА??~]•Tamara Yackih
UCY2bCgS2szsaI4_mL10hLww=May 3, 2018•[ИМА??~]•Viktor Chernyy
UCcUehAeHMtq3iRcTkZyCxiQ=Jan 2, 2020•[ИМА??~]•Аким Нарбеков
UCfIlqkV3LYNwecFIwoTghFw=Apr 18, 2019•[?]•Ирина Астахова
UC7SGNtTIAtDBBL-Mhy1G_Yg=Mar 5, 2018•[АИИ??]•Людмила Глебова
UC68QqccNBK8yQnPq1y4QGQQ=Jun 12, 2019•[ИМА?]•Julya Demenko
UCrqwhb_QbMLNUGeC6S3dGfA=8 Oct, 2018•[??]•Svetlana Agapova
UCldmp0wME6tWqPeIwciRD5A=1 May, 2019•[??]•freshlook info
UCVGpvfuki-1HF601cPm0aSQ=Oct 8, 2018•[?]•Кэрол Абзац
UCJNJeML6zF1ubTgRzMAg-0A=Feb 28, 2020•[?]•Вика Маргунова

//=================
//ВАТА, НЕАДЕКВАТА=
//=================

UC6BlSaOeGzbI6Gbcag52S9A=Jul 01, 2013•[ЕБАНАТ]•Иван Иванов
UCXYMmLT9xdtCU8W6U9DRFtw=Sep 11, 2013•[ЕБАНАТ]•Dead Can Dance
UC80zx9GUGBfFinxJT_ZAaTg=Jul 14, 2017•[ЕБАНАТ]•Каратель Хохлов
UC2spH8mC1m9DseQ9eDwNHWg=Jan 03, 2018•[ЕБАНАТ]•oleg turo
UCpx_A4u6ZuGXAQG9nYVUWbA=Jan 04, 2018•[ЕБАНАТ]•анатолий рябов
UCFjjUrJkDFDOrSjfqiFBkHA=Jan 04, 2019•[ЕБАНАТ]•}{PЮKAKEЛ CCAHO-БЛAKИTHЫЙ
UC9CVb9l1PAt4XhAhNCHcNvQ=Oct 14, 2011•[ЕБАНАТ]•АЛЛАХ ГОМОСЕКСУАЛIСТ
UCptxuxkOl0yNe2rKIklmjfQ=Jun 22, 2011•[ЕБАНАТ]•Индивидуальный Предприниматель
UCuGYXAR8eaZWo9H4kFTl_RQ=Dec 17, 2019•[ЕБАНАТ?]•Роман Петров
UCh4N6c6HIMj-I1uQQcCn43g=Mar 24, 2020•[ЕБАНАТ?]•Кремлебот #213
UCfImIaJMv1r0nS1_Cl4x6vg=Apr 10, 2019•[ВАТАН]•Костя Поляков
UC5SdUkliNQgkiRQfLs9NhTg=Jun 05, 2019•[ВАТАН]•Путин – Россия!
UCDRweALTaBIgxUaRseP4ySg=Aug 02, 2019•[ВАТАН]•Всё Просто
UCAEA8gYme-__tJiHIOZbV8w=Oct 08, 2011•[ВАТАН]•Анюта Солнечная
UCyDEiJdaxG_vhWWDyG3omiA=Dec 23, 2012•[ВАТАН]•Владимир Иванов
UC01vBKv1fdptGUkIFEFKPeA=Aug 06, 2015•[ВАТАН]•Мария Маша
UCokHoLUtsurl0ngMbvByKCA=Nov 19, 2018•[ВАТАН]•Света Иванова
UCr94azEZCU57pKhWa2kKGtw=Jan 22, 2019•[ВАТАН]•Марина Миронова
UCpB8KoODB3vDvXBVAeCPCAw=Mar 21, 2015•[ВАТАН]•Станислав Ступак
UCN46lqTCg9Eus5APgyZfduw=Jan 3, 2015•[ВАТАН]•Евгений Федоров
UCTX9GBlf-H5YMbeFkQv6Zqg=May 14, 2015•[ВАТАН]•Tomas Plat
UC_Okq82j15I2APsJdBBGm6Q=Oct 17, 2018•[ВАТАН]•Елена Дегтярева
UC4CZ0Egm1E-dxQM3hlIwd4A=Jun 1, 2015•[ВАТАН]•Юрий Гуркин
UCcTGlLO5dyrBVD-lEzt3AWQ=Jun 18, 2011•[ВАТАН?]•Лис Рыжий
UCSEnJ0jnw-ACiQuGfRGIXHA=Apr 01, 2013•[ВАТАН?]•Games of the Patriots
UCbXzZFSVZgQeuW_GJNCjxzg=Mar 20, 2014•[ВАТАН?]•Irina Shumeyko
UC3n7F0c-LP1Pt6o8sEXHJEQ=Feb 16, 2016•[ВАТАН?]•Сергей Кутузов
UCE9ZY8GcN94uMekSQfSVsHQ=Jan 08, 2017•[ВАТАН?]•Артур Король
UCtMhV87QB79cY7mTJb01FlA=May 22, 2017•[ВАТАН?]•Best Friend
UCfu_c2pGCp3Rn-tMGlCOc5w=Jan 02, 2018•[ВАТАН?]•Миша Мишин
UC-3oYWp58zy0Tzp71fXNrUA=Apr 14, 2018•[ВАТАН?]•оля клишина
UCKU_0HOuaLObdYyyTFm_BOw=Jul 29, 2018•[ВАТАН?]•Елизавета Чайка
UCkioCiD6q9wo3u9Osc0jrow=Nov 13, 2018•[ВАТАН?]•Самтакой Самтакой
UCQDMGMv43WJnbfmVp4M3asA=Apr 07, 2019•[ВАТАН?]•Винчестер
UCJ8XtFd1mFzizDziSvVF7Ew=Mar 11, 2019•[ВАТАН?]•боб свердловский
UCY3sIus1C9nXs5EamaR3FsA=Oct 30, 2018•[ВАТАН?]•Валентин Шаров
UCt-AgGG9LMLdDpxSesvlLXQ=Jun 8, 2019•[ВАТАН?]•Денис Дмитриевич
UCLGfRGkQBSpbcAqO8xmwvpw=Jan 8, 2020•[ВАТАН?]•Дина Бруклин
UCT-W11VTw7zkSD8hAPpJ6iQ=Jun 20, 2012•[ВАТАН?]•Коля Рыпкин
UCD0iKix677Z4S3LR2DBIAQg=May 2, 2019•[ВАТАН?]•Даша Симанова
UC8UCERDVnhKzPn9xrsHeO7g=Aug 10, 2018•[ЕБАНАТ?]•Meyer Lansky/Православный Коммунист
UCCldbL4EWN3BA7Ot4YjSIfQ=Nov 26, 2019•[ЕБАНАТ?]•Босс Акитский
UCV3qRf3X_HHgAvsy22UAyFg=Mar 28, 2017•[ВАТИЩЕ?]•Лариса Карташова
UCCzYU0L4NLq3Usl6DMFUUNw=Jan 4, 2018•[ЕБАНАТ?]•Ген Геныч
UCrsmKdlT4juOLPUszYreLsw=17 May, 2019•[ЕБАНАТ?]•Саша Осинний
UCKVfePTdZEgQWs4myx7Z64A=2 Jun,  2019•[ВАТАН?]•Роберт Саражаков
UCpsMPF5fVY5TG4KQA-qAaSA=22 Jan, 2019•[ВАТАН?]•Виктор Виктор
UCZr5ZrDO5xnbkKCEQGtKtHQ=27 Jan, 2018•[ВАТАН?]•Иван Иванов
UCVTCSU1km7divDUi6HDc-ZQ=29 Jul, 2018•[ВАТАН?]•Ёжик из тумана
UCPusknFasEyHQJc0648Ob_g=6 Mar, 2019•[ВАТИЩЕ?]•BOBA БОТАН
UCeLgU1JXLLjU8XWAR_2yhBw=29 Dec, 2019•[ЕБАНАТ]•Фарид Farid
UCShNH5yHiyrMJeBW7RbIKkw=25 Aug, 2018•[антипутенец, но ебанашка]•горение пукана филиповича
UC-5nXmoqN5ChJeu0K0K0qqQ=20 Dec, 2019•[ВАТА]•Надя Бронзова
